"Date","Fire District Number","Fire Station Latitude","Fire Station Longitude","Count of EMS Incidents"
01/05/2018,97,34.125457,-118.374588,2
01/05/2018,98,34.270067,-118.417144,15
01/05/2018,99,34.131817,-118.440369,3
01/05/2018,100,34.192901,-118.510023,10
01/05/2018,101,33.721922,-118.310281,5
01/05/2018,102,34.17187,-118.421358,16
01/05/2018,103,34.228947,-118.528389,8
01/05/2018,104,34.221588,-118.57141,5
01/05/2018,105,34.185444,-118.623688,12
01/05/2018,106,34.219043,-118.627915,6
01/05/2018,107,34.257526,-118.573476,13
01/05/2018,109,34.130684,-118.492642,1
01/05/2018,112,33.740556,-118.278302,5
01/06/2018,1,34.075138,-118.218304,10
01/06/2018,2,34.049176,-118.213776,18
01/06/2018,3,34.058512,-118.252009,10
01/06/2018,4,34.050171,-118.236079,16
01/06/2018,5,33.955648,-118.403671,9
01/06/2018,6,34.077083,-118.286542,9
01/06/2018,7,34.242387,-118.45144,27
01/06/2018,9,34.041237,-118.247897,43
01/06/2018,10,34.03737,-118.264039,21
01/06/2018,11,34.055435,-118.273842,21
01/06/2018,12,34.110918,-118.190742,4
01/06/2018,13,34.047518,-118.289378,10
01/06/2018,14,34.012746,-118.25685,12
01/06/2018,15,34.026955,-118.283602,14
01/06/2018,16,34.066176,-118.180583,2
01/06/2018,17,34.025733,-118.230359,3
01/06/2018,18,34.289601,-118.501397,2
01/06/2018,19,34.058696,-118.478662,8
01/06/2018,20,34.077198,-118.265406,11
01/06/2018,21,33.996906,-118.254873,7
01/06/2018,23,34.042531,-118.55426,2
01/06/2018,25,34.031062,-118.207588,5
01/06/2018,26,34.038749,-118.309323,12
01/06/2018,27,34.095627,-118.330162,22
01/06/2018,29,34.061981,-118.315352,20
01/06/2018,33,33.981331,-118.273589,31
01/06/2018,34,34.021229,-118.325112,17
01/06/2018,35,34.100218,-118.287747,17
01/06/2018,36,33.753086,-118.293442,4
01/06/2018,37,34.059994,-118.449106,16
01/06/2018,38,33.781007,-118.261696,4
01/06/2018,39,34.179692,-118.45123,24
01/06/2018,41,34.096906,-118.353152,10
01/06/2018,42,34.139484,-118.210732,3
01/06/2018,43,34.023085,-118.405545,10
01/06/2018,44,34.096851,-118.230978,6
01/06/2018,46,34.004251,-118.286789,34
01/06/2018,47,34.085462,-118.186955,9
01/06/2018,48,33.729689,-118.290499,9
01/06/2018,50,34.115339,-118.244565,4
